topic,deadline,timeline,status,source,source_url
co-sponsorship,At least 14 business days before incurring the expense,Weekly Finance Committee review; verify current CampusGroups notification timing.,current published rule,"GW SGA Applying for Funding, p. 1",https://sga.gwu.edu/applying-for-funding
contract,Start at least 6–8 weeks before the event,Allow at least 6–8 weeks for processing.,handbook lead time,"GW Student Organization Handbook, p. 26",https://students.gwu.edu/org-handbook
re-registration,Annual re-registration generally occurs in March or April. The March 2025 handbook describes a mid-March deadline for certain requirements.,Use the current Annual Requirements page for the exact date.,annual date changes,"GW Student Organization Handbook, pp. 10–11",https://students.gwu.edu/annual-requirements-training-re-registration
general allocation fall,"Typically requested in the preceding spring, usually March",Semester-long process; funds are available no earlier than July 1 and typically late July/August.,typical schedule,"GW Student Organization Handbook, p. 42",https://students.gwu.edu/organization-finances
general allocation spring,"Typically requested in the preceding fall, usually September or October",Funds are available no earlier than January 2.,typical schedule,"GW Student Organization Handbook, p. 42",https://students.gwu.edu/organization-finances
uwpf,"February 15, 2026 was the listed deadline for Spring 2026 events",Historical deadline; retrieve the current information sheet.,historical / expired,"GW SGA Applying for Funding, p. 2",https://sga.gwu.edu/applying-for-funding
new organization,"Application cycles open in fall, spring, and summer",Applicants are contacted approximately 1–2 weeks after the application period closes.,exact cycle dates change,"GW Student Organization Handbook, pp. 18–19",https://students.gwu.edu/org-handbook
org help response,Submit questions as early as possible,The handbook states a goal of responding within 2 business days.,"service target, not guarantee","GW Student Organization Handbook, p. 8",https://students.gwu.edu/org-advising-support
check payment,Submit a complete request well before payment is needed,Checks can take up to 6–8 weeks after request approval.,approximate processing time,"GW Student Organization Handbook, p. 49",https://students.gwu.edu/organization-finances
annual spending cutoff,Usually an annually specified deadline in mid-May,The exact date is communicated each year.,annual date changes,"GW Student Organization Handbook, p. 42",https://students.gwu.edu/organization-finances
pathway appeal,"September 15, 2026",Verify the current pathway-transition review timeline.,current published 2026 date,GW Student Organization Pathways,https://students.gwu.edu/student-organization-pathways
orange line advisor,"October 1, 2026",The advisor must be identified by the published deadline.,current published 2026 date,GW Student Organization Pathways,https://students.gwu.edu/student-organization-pathways
