org_id,org_name,category,description,keywords,source_url,status,last_updated
GW-MSA,The Muslim Students' Association,"Religious, Secular, and Spiritual","Serves Muslim students and the broader GW community through religious, social, cultural, educational, advocacy, and interfaith activities.",muslim islam islamic faith religion spiritual prayer jummah jumuah ramadan eid community interfaith msa,https://gwu.campusgroups.com/MSA/,active,2026-07-20
GW-MUSLIM-VOICE,Muslim Voice,"Religious, Secular, and Spiritual; Advocacy and Awareness","Promotes understanding of Islam, interfaith dialogue, civic engagement, and the constructive representation of Islamic values.",muslim islam islamic interfaith dialogue civic engagement advocacy faith religion,https://gwu.campusgroups.com/MuslimVoice/,active,2026-07-20
GW-LAW-MLSA,Muslim Law Students Association,"Professional; Religious, Secular, and Spiritual","Provides a religious, social, and professional community for Muslim and non-Muslim GW Law students interested in Islam and the Muslim legal community.",muslim islam islamic law legal law school professional faith religion mlsa,https://gwu.campusgroups.com/MuslimLaw/,active,2026-07-20
GW-ASA,African Students Association,Cultural,"Creates a welcoming space for the celebration of African cultures through academic, social, cultural, and service activities.",africa african culture cultural diaspora social service community,https://gwu.campusgroups.com/AfricanSA/,active,2026-07-20
GW-ISA,GW International Students Association,Cultural; Advocacy and Awareness,"Supports international students' adjustment, engagement, friendship, professional development, and connection to university resources.",international global culture cultural friendship community students abroad,https://gwu.campusgroups.com/GWISA/,active,2026-07-20
GW-ACM,GW Association for Computing Machinery Student Chapter,Academic; Professional,"Builds the computer science community through professor talks, game nights, technical learning, networking, and department-wide events.",computer science computing coding programming software technology tech professional acm,https://gwu.campusgroups.com/GWACM/,active,2026-07-20
GW-INDIAN-SA,Indian Students' Association,Cultural,"Promotes and celebrates Indian culture through educational, social, community-service, and cultural programs.",india indian south asia culture cultural community service,https://gwu.campusgroups.com/ISA/,active,2026-07-20
GW-IRANIAN-SA,Iranian Student Association,Cultural,"Builds community around Persian language and culture through social, educational, and cultural programs.",iran iranian persian culture cultural language norooz community,https://gwu.campusgroups.com/IRSA/,active,2026-07-20
GW-TURKISH-SA,GW Turkish Student Association,Cultural,"Connects the Turkish community with the wider GW community and promotes Turkish culture, communication, and cooperation.",turkey turkish culture cultural international community,https://gwu.campusgroups.com/TurkishSA/,active,2026-07-20
GW-FGU,GW First Gen United,Advocacy and Awareness,"Supports first-generation college students through community, advocacy, academic support, and professional development.",first generation first-gen community advocacy academics professional support,https://gwu.campusgroups.com/FGU/,active,2026-07-20
GW-PB,GW Program Board,Event Programming; University Spirit and Tradition,Plans large campus programs and events intended to connect and entertain the broader GW community.,events programming entertainment campus tradition community program board,https://gwu.campusgroups.com/GWPB/,active,2026-07-20
GW-SGA,GW Student Government Association,Student Governance,"Represents the student body through advocacy, allocations, advertising, and assistance.",student government governance advocacy finance allocations leadership sga,https://gwu.campusgroups.com/SGA/,active,2026-07-20
